Indicator,SurveyYear,CountryName,AGEGROUP (DISPLAY),SEX (DISPLAY),CHILDCAUSE (DISPLAY),Value
nLx - person-years lived between ages x and x+n,2010,Gabon,40-44 years,Both sexes,,413002.2093
nLx - person-years lived between ages x and x+n,2010,Gabon,50-54 years,Both sexes,,369495.3418
nLx - person-years lived between ages x and x+n,2010,Gabon,75-79 years,Both sexes,,146648.4502
nLx - person-years lived between ages x and x+n,2010,Gabon,85+ years,Both sexes,,57113.80521
nLx - person-years lived between ages x and x+n,2015,Gabon,25-29 years,Both sexes,,458852.2394
nLx - person-years lived between ages x and x+n,2015,Gabon,35-39 years,Both sexes,,443114.6249
nLx - person-years lived between ages x and x+n,2015,Gabon,70-74 years,Both sexes,,229182.8244
nLx - person-years lived between ages x and x+n,2015,Gabon,80-84 years,Both sexes,,104115.7656
nLx - person-years lived between ages x and x+n,2019,Gabon,10-14 years,Both sexes,,474723.8639
nLx - person-years lived between ages x and x+n,2019,Gabon,20-24 years,Both sexes,,468585.5009
nLx - person-years lived between ages x and x+n,2019,Gabon,55-59 years,Both sexes,,378300.6119
nLx - person-years lived between ages x and x+n,2019,Gabon,65-69 years,Both sexes,,298025.3037
Tx - person-years lived above age x,2000,Gabon,5-9 years,Male,,5150440.93
Tx - person-years lived above age x,2000,Gabon,15-19  years,Male,,4249967.841
Tx - person-years lived above age x,2000,Gabon,40-44 years,Male,,2106586.413
Tx - person-years lived above age x,2000,Gabon,50-54 years,Male,,1354524.68
Tx - person-years lived above age x,2000,Gabon,60-64 years,Male,,728944.0376
Tx - person-years lived above age x,2000,Gabon,85+ years,Male,,21861.05117
Tx - person-years lived above age x,2005,Gabon,1-4 years,Male,,5717789.189
Tx - person-years lived above age x,2005,Gabon,35-39 years,Male,,2676556.574
Tx - person-years lived above age x,2005,Gabon,45-49 years,Male,,1858602.49
Tx - person-years lived above age x,2005,Gabon,70-74 years,Male,,338998.3113
Tx - person-years lived above age x,2005,Gabon,80-84 years,Male,,81728.79497
Tx - person-years lived above age x,2010,Gabon,<1 year,Male,,6012144.022
Tx - person-years lived above age x,2010,Gabon,20-24 years,Male,,4158142.03
Tx - person-years lived above age x,2010,Gabon,30-34 years,Male,,3261122.259
Tx - person-years lived above age x,2010,Gabon,65-69 years,Male,,609635.6062
Tx - person-years lived above age x,2010,Gabon,75-79 years,Male,,206731.5865
Tx - person-years lived above age x,2015,Gabon,15-19  years,Male,,4794012.125
Tx - person-years lived above age x,2015,Gabon,25-29 years,Male,,3871222.03
Tx - person-years lived above age x,2015,Gabon,50-54 years,Male,,1701444.523
Tx - person-years lived above age x,2015,Gabon,60-64 years,Male,,974057.3572
Tx - person-years lived above age x,2019,Gabon,1-4 years,Male,,6261760.559
Tx - person-years lived above age x,2019,Gabon,10-14 years,Male,,5402766.432
Tx - person-years lived above age x,2019,Gabon,45-49 years,Male,,2206205.366
Tx - person-years lived above age x,2019,Gabon,55-59 years,Male,,1395744.907
Tx - person-years lived above age x,2019,Gabon,80-84 years,Male,,118698.148
Tx - person-years lived above age x,2000,Gabon,<1 year,Female,,6010243.178
Tx - person-years lived above age x,2000,Gabon,30-34 years,Female,,3289030.741
Tx - person-years lived above age x,2000,Gabon,40-44 years,Female,,2456995.072
Tx - person-years lived above age x,2000,Gabon,75-79 years,Female,,296461.0748
Tx - person-years lived above age x,2000,Gabon,85+ years,Female,,59439.26237
Tx - person-years lived above age x,2005,Gabon,15-19  years,Female,,4738049.189
Tx - person-years lived above age x,2005,Gabon,25-29 years,Female,,3828693.402
Tx - person-years lived above age x,2005,Gabon,60-64 years,Female,,1084648.447
Tx - person-years lived above age x,2005,Gabon,70-74 years,Female,,530747.6171
Tx - person-years lived above age x,2010,Gabon,10-14 years,Female,,5477833.89
Tx - person-years lived above age x,2010,Gabon,20-24 years,Female,,4546979.225
Tx - person-years lived above age x,2010,Gabon,45-49 years,Female,,2346600.075
Tx - person-years lived above age x,2010,Gabon,55-59 years,Female,,1579090.899
Tx - person-years lived above age x,2015,Gabon,<1 year,Female,,6809051.144
Tx - person-years lived above age x,2015,Gabon,5-9 years,Female,,6327219.988
Tx - person-years lived above age x,2015,Gabon,40-44 years,Female,,3068570.562
Tx - person-years lived above age x,2015,Gabon,50-54 years,Female,,2208951.871
Tx - person-years lived above age x,2015,Gabon,75-79 years,Female,,461091.7533
Tx - person-years lived above age x,2015,Gabon,85+ years,Female,,104555.7933
Tx - person-years lived above age x,2019,Gabon,25-29 years,Female,,4583299.422
Tx - person-years lived above age x,2019,Gabon,35-39 years,Female,,3648591.291
Tx - person-years lived above age x,2019,Gabon,70-74 years,Female,,781263.4091
Tx - person-years lived above age x,2019,Gabon,80-84 years,Female,,265273.818
Tx - person-years lived above age x,2000,Gabon,10-14 years,Both sexes,,4887293.841
Tx - person-years lived above age x,2000,Gabon,20-24 years,Both sexes,,3987917.789
Tx - person-years lived above age x,2000,Gabon,55-59 years,Both sexes,,1184122.795
Tx - person-years lived above age x,2000,Gabon,65-69 years,Both sexes,,611405.3988
Tx - person-years lived above age x,2005,Gabon,5-9 years,Both sexes,,5504330.399
Tx - person-years lived above age x,2005,Gabon,15-19  years,Both sexes,,4588064.506
Tx - person-years lived above age x,2005,Gabon,40-44 years,Both sexes,,2399954.625
Tx - person-years lived above age x,2005,Gabon,50-54 years,Both sexes,,1623982.816
Tx - person-years lived above age x,2005,Gabon,85+ years,Both sexes,,46071.14888
Tx - person-years lived above age x,2010,Gabon,1-4 years,Both sexes,,6119425.628
Tx - person-years lived above age x,2010,Gabon,35-39 years,Both sexes,,3003578.468
Tx - person-years lived above age x,2010,Gabon,45-49 years,Both sexes,,2161874.904
Tx - person-years lived above age x,2010,Gabon,70-74 years,Both sexes,,498123.9275
Tx - person-years lived above age x,2010,Gabon,80-84 years,Both sexes,,146492.6032
Tx - person-years lived above age x,2015,Gabon,<1 year,Both sexes,,6493317.181
Tx - person-years lived above age x,2015,Gabon,20-24 years,Both sexes,,4602376.524
Tx - person-years lived above age x,2015,Gabon,30-34 years,Both sexes,,3679825.768
Tx - person-years lived above age x,2015,Gabon,65-69 years,Both sexes,,852936.2039
Tx - person-years lived above age x,2015,Gabon,75-79 years,Both sexes,,339759.3334
Tx - person-years lived above age x,2019,Gabon,5-9 years,Both sexes,,6164146.161
Tx - person-years lived above age x,2019,Gabon,15-19  years,Both sexes,,5211811.413
Tx - person-years lived above age x,2019,Gabon,25-29 years,Both sexes,,4271442.445
Tx - person-years lived above age x,2019,Gabon,50-54 years,Both sexes,,2030370.511
Tx - person-years lived above age x,2019,Gabon,60-64 years,Both sexes,,1246854.57
ex - expectation of life at age x,2000,Gabon,1-4 years,Male,,58.76057
ex - expectation of life at age x,2000,Gabon,10-14 years,Male,,52.16276
ex - expectation of life at age x,2000,Gabon,35-39 years,Male,,30.20916
ex - expectation of life at age x,2000,Gabon,45-49 years,Male,,22.7667
ex - expectation of life at age x,2000,Gabon,55-59 years,Male,,16.23949
ex - expectation of life at age x,2000,Gabon,80-84 years,Male,,5.35005
ex - expectation of life at age x,2005,Gabon,<1 year,Male,,58.13952
ex - expectation of life at age x,2005,Gabon,30-34 years,Male,,35.76909
ex - expectation of life at age x,2005,Gabon,40-44 years,Male,,27.52431
ex - expectation of life at age x,2005,Gabon,75-79 years,Male,,7.17573
ex - expectation of life at age x,2005,Gabon,85+ years,Male,,4.08415
ex - expectation of life at age x,2010,Gabon,15-19  years,Male,,50.36777
ex - expectation of life at age x,2010,Gabon,25-29 years,Male,,41.30424
ex - expectation of life at age x,2010,Gabon,60-64 years,Male,,14.42783
ex - expectation of life at age x,2010,Gabon,70-74 years,Male,,9.35177
ex - expectation of life at age x,2015,Gabon,10-14 years,Male,,56.00689
ex - expectation of life at age x,2015,Gabon,20-24 years,Male,,46.89106
ex - expectation of life at age x,2015,Gabon,45-49 years,Male,,25.27461
ex - expectation of life at age x,2015,Gabon,55-59 years,Male,,18.04633
ex - expectation of life at age x,2019,Gabon,<1 year,Male,,63.59354
ex - expectation of life at age x,2019,Gabon,5-9 years,Male,,61.63111
ex - expectation of life at age x,2019,Gabon,40-44 years,Male,,29.95048
ex - expectation of life at age x,2019,Gabon,50-54 years,Male,,21.95918
ex - expectation of life at age x,2019,Gabon,75-79 years,Male,,7.57706
ex - expectation of life at age x,2019,Gabon,85+ years,Male,,4.21179
ex - expectation of life at age x,2000,Gabon,25-29 years,Female,,41.96851
ex - expectation of life at age x,2000,Gabon,35-39 years,Female,,34.40969
ex - expectation of life at age x,2000,Gabon,70-74 years,Female,,10.97092
ex - expectation of life at age x,2000,Gabon,80-84 years,Female,,6.37549
ex - expectation of life at age x,2005,Gabon,10-14 years,Female,,56.36172
ex - expectation of life at age x,2005,Gabon,20-24 years,Female,,46.99844
ex - expectation of life at age x,2005,Gabon,55-59 years,Female,,20.68402
ex - expectation of life at age x,2005,Gabon,65-69 years,Female,,14.14308
ex - expectation of life at age x,2010,Gabon,5-9 years,Female,,63.0721
ex - expectation of life at age x,2010,Gabon,15-19  years,Female,,53.85201
ex - expectation of life at age x,2010,Gabon,40-44 years,Female,,32.74661
ex - expectation of life at age x,2010,Gabon,50-54 years,Female,,25.40111
ex - expectation of life at age x,2010,Gabon,85+ years,Female,,4.89219
ex - expectation of life at age x,2015,Gabon,1-4 years,Female,,69.30586
ex - expectation of life at age x,2015,Gabon,35-39 years,Female,,38.76233
ex - expectation of life at age x,2015,Gabon,45-49 years,Female,,30.56549
ex - expectation of life at age x,2015,Gabon,70-74 years,Female,,12.15465
ex - expectation of life at age x,2015,Gabon,80-84 years,Female,,6.88372
ex - expectation of life at age x,2019,Gabon,20-24 years,Female,,53.29592
ex - expectation of life at age x,2019,Gabon,30-34 years,Female,,43.96
ex - expectation of life at age x,2019,Gabon,65-69 years,Female,,15.64782
ex - expectation of life at age x,2019,Gabon,75-79 years,Female,,9.39403
ex - expectation of life at age x,2000,Gabon,5-9 years,Both sexes,,58.38132
ex - expectation of life at age x,2000,Gabon,15-19  years,Both sexes,,49.32578
ex - expectation of life at age x,2000,Gabon,25-29 years,Both sexes,,40.31941
ex - expectation of life at age x,2000,Gabon,50-54 years,Both sexes,,21.48944
ex - expectation of life at age x,2000,Gabon,60-64 years,Both sexes,,15.23425
ex - expectation of life at age x,2005,Gabon,1-4 years,Both sexes,,61.84205
ex - expectation of life at age x,2005,Gabon,10-14 years,Both sexes,,55.05155
ex - expectation of life at age x,2005,Gabon,35-39 years,Both sexes,,33.20369
ex - expectation of life at age x,2005,Gabon,45-49 years,Both sexes,,25.72224
ex - expectation of life at age x,2005,Gabon,55-59 years,Both sexes,,18.87823
ex - expectation of life at age x,2005,Gabon,80-84 years,Both sexes,,6.0632
ex - expectation of life at age x,2010,Gabon,<1 year,Both sexes,,62.16494
ex - expectation of life at age x,2010,Gabon,30-34 years,Both sexes,,38.59773
ex - expectation of life at age x,2010,Gabon,40-44 years,Both sexes,,30.52656
ex - expectation of life at age x,2010,Gabon,65-69 years,Both sexes,,13.39103
ex - expectation of life at age x,2010,Gabon,75-79 years,Both sexes,,8.30534
ex - expectation of life at age x,2010,Gabon,85+ years,Both sexes,,4.61054
ex - expectation of life at age x,2015,Gabon,15-19  years,Both sexes,,54.08391
ex - expectation of life at age x,2015,Gabon,25-29 years,Both sexes,,44.8301
ex - expectation of life at age x,2015,Gabon,60-64 years,Both sexes,,16.91494
ex - expectation of life at age x,2015,Gabon,70-74 years,Both sexes,,10.98444
ex - expectation of life at age x,2019,Gabon,10-14 years,Both sexes,,59.68933
ex - expectation of life at age x,2019,Gabon,20-24 years,Both sexes,,50.37614
ex - expectation of life at age x,2019,Gabon,45-49 years,Both sexes,,28.27508
ex - expectation of life at age x,2019,Gabon,55-59 years,Both sexes,,20.65228
Age-standardized NCD mortality rate  (per 100 000 population),2004,Gabon,,Female,,646.7931
Age-standardized NCD mortality rate  (per 100 000 population),2008,Gabon,,Male,,878.5409
Age-standardized NCD mortality rate  (per 100 000 population),2013,Gabon,,Both sexes,,633.5504
Age-standardized NCD mortality rate  (per 100 000 population),2015,Gabon,,Male,,811.1682
Age-standardized NCD mortality rate  (per 100 000 population),2019,Gabon,,Both sexes,,613.2721
Age-standardized NCD mortality rate  (per 100 000 population),2007,Gabon,,Female,,642.7368
Age-standardized NCD mortality rate  (per 100 000 population),2000,Gabon,,Male,,946.0875
Age-standardized NCD mortality rate  (per 100 000 population),2010,Gabon,,Male,,841.6557
Age-standardized NCD mortality rate  (per 100 000 population),2010,Gabon,,Female,,604.1945
Age-standardized NCD mortality rate  (per 100 000 population),2005,Gabon,,Male,,835.4842
Age-standardized NCD mortality rate  (per 100 000 population),2009,Gabon,,Both sexes,,720.0716
Age-standardized NCD mortality rate  (per 100 000 population),2006,Gabon,,Female,,668.2047
Age-standardized NCD mortality rate  (per 100 000 population),2016,Gabon,,Male,,794.3018
Age-standardized NCD mortality rate  (per 100 000 population),2011,Gabon,,Female,,596.3118
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1995,Gabon,,Both sexes,,8.51591
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1997,Gabon,,Both sexes,,8.58467
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2004,Gabon,,Both sexes,,8.96294
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2006,Gabon,,Both sexes,,9.09176
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2011,Gabon,,Both sexes,,8.66024
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2013,Gabon,,Both sexes,,8.29563
Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2020,Gabon,,Both sexes,,6.98957
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1973,Gabon,,Female,,140.21263
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1975,Gabon,,Female,,131.32798
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1982,Gabon,,Female,,103.86421
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1984,Gabon,,Female,,97.62562
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1989,Gabon,,Female,,86.52325
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1991,Gabon,,Female,,83.78194
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1993,Gabon,,Female,,82.13488
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1998,Gabon,,Female,,79.86304
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2000,Gabon,,Female,,77.67759
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2007,Gabon,,Female,,63.69717
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2009,Gabon,,Female,,59.00354
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2016,Gabon,,Female,,43.55453
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2018,Gabon,,Female,,40.34894
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1970,Gabon,,Male,,173.02239
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1972,Gabon,,Male,,162.9491
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1979,Gabon,,Male,,131.30901
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1981,Gabon,,Male,,123.37371
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1988,Gabon,,Male,,102.71599
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1990,Gabon,,Male,,99.49419
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1995,Gabon,,Male,,95.50782
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1997,Gabon,,Male,,94.48167
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2004,Gabon,,Male,,82.43842
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2006,Gabon,,Male,,77.80969
Infant mortality rate (between birth and 11 months per 1000 live births),1976,Gabon,,Female,,75.62545
Infant mortality rate (between birth and 11 months per 1000 live births),1983,Gabon,,Female,,61.3807
Infant mortality rate (between birth and 11 months per 1000 live births),1985,Gabon,,Female,,58.28845
Infant mortality rate (between birth and 11 months per 1000 live births),1992,Gabon,,Female,,51.42636
Infant mortality rate (between birth and 11 months per 1000 live births),1994,Gabon,,Female,,50.54052
Infant mortality rate (between birth and 11 months per 1000 live births),1974,Gabon,,Female,,80.29738
Infant mortality rate (between birth and 11 months per 1000 live births),1969,Gabon,,Female,,92.88945
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2003,Gabon,,Both sexes,,78.76116
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2001,Gabon,,Both sexes,,82.7645
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1994,Gabon,,Both sexes,,88.97443
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1992,Gabon,,Both sexes,,90.26428
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1987,Gabon,,Both sexes,,97.73828
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1985,Gabon,,Both sexes,,102.63136
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1978,Gabon,,Both sexes,,127.38134
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1976,Gabon,,Both sexes,,135.83556
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1969,Gabon,,Both sexes,,169.01865
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1967,Gabon,,Both sexes,,179.83752
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1962,Gabon,,Both sexes,,210.02633
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1960,Gabon,,Both sexes,,223.17219
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1953,Gabon,,Both sexes,,275.04834
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1951,Gabon,,Both sexes,,291.43941
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),1944,Gabon,,Both sexes,,353.72375
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2020,Gabon,,Male,,45.01883
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2015,Gabon,,Male,,55.00256
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2013,Gabon,,Male,,59.09818
Infant mortality rate (between birth and 11 months per 1000 live births),1999,Gabon,,Female,,47.92662
Infant mortality rate (between birth and 11 months per 1000 live births),2001,Gabon,,Female,,46.13778
Infant mortality rate (between birth and 11 months per 1000 live births),2008,Gabon,,Female,,38.57388
Infant mortality rate (between birth and 11 months per 1000 live births),2010,Gabon,,Female,,36.46189
Infant mortality rate (between birth and 11 months per 1000 live births),2017,Gabon,,Female,,29.11122
Infant mortality rate (between birth and 11 months per 1000 live births),2019,Gabon,,Female,,27.27582
Infant mortality rate (between birth and 11 months per 1000 live births),1971,Gabon,,Male,,106.02075
Infant mortality rate (between birth and 11 months per 1000 live births),1973,Gabon,,Male,,100.55934
Infant mortality rate (between birth and 11 months per 1000 live births),1980,Gabon,,Male,,83.21905
Infant mortality rate (between birth and 11 months per 1000 live births),1982,Gabon,,Male,,78.79054
Infant mortality rate (between birth and 11 months per 1000 live births),1979,Gabon,,Both sexes,,77.50911
Infant mortality rate (between birth and 11 months per 1000 live births),1986,Gabon,,Both sexes,,64.48637
Infant mortality rate (between birth and 11 months per 1000 live births),1988,Gabon,,Both sexes,,62.02008
Infant mortality rate (between birth and 11 months per 1000 live births),1993,Gabon,,Both sexes,,58.19393
Infant mortality rate (between birth and 11 months per 1000 live births),1995,Gabon,,Both sexes,,57.37698
Infant mortality rate (between birth and 11 months per 1000 live births),2002,Gabon,,Both sexes,,51.46098
Infant mortality rate (between birth and 11 months per 1000 live births),2004,Gabon,,Both sexes,,49.03861
Infant mortality rate (between birth and 11 months per 1000 live births),1989,Gabon,,Male,,67.94419
Infant mortality rate (between birth and 11 months per 1000 live births),1991,Gabon,,Male,,66.24782
Infant mortality rate (between birth and 11 months per 1000 live births),1996,Gabon,,Male,,63.70669
Infant mortality rate (between birth and 11 months per 1000 live births),1998,Gabon,,Male,,62.14904
Infant mortality rate (between birth and 11 months per 1000 live births),2005,Gabon,,Male,,53.2501
Infant mortality rate (between birth and 11 months per 1000 live births),2007,Gabon,,Male,,50.24372
Infant mortality rate (between birth and 11 months per 1000 live births),2014,Gabon,,Male,,40.79883
Infant mortality rate (between birth and 11 months per 1000 live births),2016,Gabon,,Male,,37.91362
Infant mortality rate (between birth and 11 months per 1000 live births),2021,Gabon,,Male,,32.79265
Infant mortality rate (between birth and 11 months per 1000 live births),1970,Gabon,,Both sexes,,99.7105
Infant mortality rate (between birth and 11 months per 1000 live births),1977,Gabon,,Both sexes,,82.11826
Infant mortality rate (between birth and 11 months per 1000 live births),2020,Gabon,,Both sexes,,29.77827
Infant mortality rate (between birth and 11 months per 1000 live births),2011,Gabon,,Both sexes,,40.0959
Infant mortality rate (between birth and 11 months per 1000 live births),2013,Gabon,,Both sexes,,37.34004
Infant mortality rate (between birth and 11 months per 1000 live births),2018,Gabon,,Both sexes,,32.21098
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),1998,Gabon,,Female,,16.99768
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2014,Gabon,,Female,,13.57977
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2019,Gabon,,Both sexes,,43.19881
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2017,Gabon,,Both sexes,,46.59009
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2012,Gabon,,Both sexes,,56.77454
Under-five mortality rate (per 1000 live births) (SDG 3.2.1),2010,Gabon,,Both sexes,,61.76692
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2005,Gabon,,Female,,16.35164
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2007,Gabon,,Female,,16.03392
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2012,Gabon,,Female,,14.36468
Stillbirth rate (per 1000 total births),2000,Gabon,,Both sexes,,17.63517
nqx - probability of dying between ages x and x+n,2015,Gabon,15-19  years,Both sexes,,0.00614
nqx - probability of dying between ages x and x+n,2015,Gabon,20-24 years,Both sexes,,0.00903
nqx - probability of dying between ages x and x+n,2015,Gabon,25-29 years,Both sexes,,0.01189
nqx - probability of dying between ages x and x+n,2019,Gabon,1-4 years,Both sexes,,0.01176
nqx - probability of dying between ages x and x+n,2019,Gabon,5-9 years,Both sexes,,0.00529
nqx - probability of dying between ages x and x+n,2019,Gabon,10-14 years,Both sexes,,0.0068
nqx - probability of dying between ages x and x+n,2019,Gabon,15-19  years,Both sexes,,0.00558
nqx - probability of dying between ages x and x+n,2019,Gabon,85+ years,Both sexes,,1
lx - number of people left alive at age x,2000,Gabon,<1 year,Male,,100000
lx - number of people left alive at age x,2000,Gabon,1-4 years,Male,,93921.7631
lx - number of people left alive at age x,2000,Gabon,5-9 years,Male,,90908.68427
lx - number of people left alive at age x,2000,Gabon,70-74 years,Male,,32987.24121
lx - number of people left alive at age x,2000,Gabon,75-79 years,Male,,21977.98741
lx - number of people left alive at age x,2000,Gabon,80-84 years,Male,,12444.17843
lx - number of people left alive at age x,2000,Gabon,85+ years,Male,,5442.19659
lx - number of people left alive at age x,2005,Gabon,<1 year,Male,,100000
lx - number of people left alive at age x,2005,Gabon,60-64 years,Male,,58402.34755
lx - number of people left alive at age x,2005,Gabon,65-69 years,Male,,48329.57051
lx - number of people left alive at age x,2005,Gabon,70-74 years,Male,,37085.58036
lx - number of people left alive at age x,2005,Gabon,75-79 years,Male,,25453.82552
lx - number of people left alive at age x,2010,Gabon,50-54 years,Male,,76160.16504
lx - number of people left alive at age x,2010,Gabon,55-59 years,Male,,69936.72893
lx - number of people left alive at age x,2010,Gabon,60-64 years,Male,,62000.37432
lx - number of people left alive at age x,2010,Gabon,65-69 years,Male,,51957.66077
lx - number of people left alive at age x,2015,Gabon,35-39 years,Male,,88674.838
lx - number of people left alive at age x,2015,Gabon,40-44 years,Male,,86514.96171
lx - number of people left alive at age x,2015,Gabon,45-49 years,Male,,83390.43123
lx - number of people left alive at age x,2015,Gabon,50-54 years,Male,,79096.07671
lx - number of people left alive at age x,2015,Gabon,55-59 years,Male,,73186.01395
lx - number of people left alive at age x,2019,Gabon,25-29 years,Male,,92353.01531
lx - number of people left alive at age x,2019,Gabon,30-34 years,Male,,91309.06454
lx - number of people left alive at age x,2019,Gabon,35-39 years,Male,,90003.83133
lx - number of people left alive at age x,2019,Gabon,40-44 years,Male,,88147.47862
lx - number of people left alive at age x,2000,Gabon,15-19  years,Female,,90729.65757
lx - number of people left alive at age x,2000,Gabon,20-24 years,Female,,90155.91286
lx - number of people left alive at age x,2000,Gabon,25-29 years,Female,,88805.13345
lx - number of people left alive at age x,2000,Gabon,30-34 years,Female,,86390.07312
lx - number of people left alive at age x,2005,Gabon,5-9 years,Female,,92978.91746
lx - number of people left alive at age x,2005,Gabon,10-14 years,Female,,92218.83919
lx - number of people left alive at age x,2005,Gabon,15-19  years,Female,,91606.50897
lx - number of people left alive at age x,2005,Gabon,20-24 years,Female,,91094.44761
lx - number of people left alive at age x,2005,Gabon,85+ years,Female,,13909.36028
lx - number of people left alive at age x,2010,Gabon,<1 year,Female,,100000
lx - number of people left alive at age x,2010,Gabon,1-4 years,Female,,96289.76961
lx - number of people left alive at age x,2010,Gabon,5-9 years,Female,,94299.91667
lx - number of people left alive at age x,2010,Gabon,10-14 years,Female,,93643.98087
lx - number of people left alive at age x,2010,Gabon,75-79 years,Female,,42515.79114
lx - number of people left alive at age x,2010,Gabon,80-84 years,Female,,30081.01352
lx - number of people left alive at age x,2010,Gabon,85+ years,Female,,17228.55191
lx - number of people left alive at age x,2015,Gabon,<1 year,Female,,100000
lx - number of people left alive at age x,2015,Gabon,65-69 years,Female,,68658.31982
lx - number of people left alive at age x,2015,Gabon,70-74 years,Female,,60603.98836
lx - number of people left alive at age x,2015,Gabon,75-79 years,Female,,49607.41243
lx - number of people left alive at age x,2015,Gabon,80-84 years,Female,,35921.08016
lx - number of people left alive at age x,2019,Gabon,50-54 years,Female,,85561.88309
lx - number of people left alive at age x,2019,Gabon,55-59 years,Female,,81931.15386
lx - number of people left alive at age x,2019,Gabon,60-64 years,Female,,77437.27463
lx - number of people left alive at age x,2019,Gabon,65-69 years,Female,,71485.86704
lx - number of people left alive at age x,2019,Gabon,70-74 years,Female,,63447.856
lx - number of people left alive at age x,2000,Gabon,40-44 years,Both sexes,,79914.98049
lx - number of people left alive at age x,2000,Gabon,45-49 years,Both sexes,,75826.1495
lx - number of people left alive at age x,2000,Gabon,50-54 years,Both sexes,,70889.71131
lx - number of people left alive at age x,2000,Gabon,55-59 years,Both sexes,,64813.23183
lx - number of people left alive at age x,2005,Gabon,30-34 years,Both sexes,,87287.16339
lx - number of people left alive at age x,2005,Gabon,35-39 years,Both sexes,,84814.01781
lx - number of people left alive at age x,2005,Gabon,40-44 years,Both sexes,,81659.40081
lx - number of people left alive at age x,2005,Gabon,45-49 years,Both sexes,,77804.11695
lx - number of people left alive at age x,2010,Gabon,20-24 years,Both sexes,,91701.08643
lx - number of people left alive at age x,2010,Gabon,25-29 years,Both sexes,,90710.57534
lx - number of people left alive at age x,2010,Gabon,30-34 years,Both sexes,,89241.2811
lx - number of people left alive at age x,2010,Gabon,35-39 years,Both sexes,,87131.78695
lx - number of people left alive at age x,2015,Gabon,5-9 years,Both sexes,,94996.94968
lx - number of people left alive at age x,2015,Gabon,10-14 years,Both sexes,,94419.75345
lx - number of people left alive at age x,2015,Gabon,15-19  years,Both sexes,,93736.14785
lx - number of people left alive at age x,2015,Gabon,20-24 years,Both sexes,,93160.23758
lx - number of people left alive at age x,2019,Gabon,<1 year,Both sexes,,100000
lx - number of people left alive at age x,2019,Gabon,1-4 years,Both sexes,,96914.7767
